Job_Title,Industry,Experience_In_Current_Role,Annual_Compensation,ML_In_Use
Not employed,,0,,
Data Scientist,Computers/Technology,5-10,,We are exploring ML methods (and may one day put a model into production)
Other,Academics/Education,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0,"40-50,000",I do not know
Product/Project Manager,Computers/Technology,4-5,"40-50,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Other,Broadcasting/Communications,1-2,"20-30,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,I am a student,2-3,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,2-3,"80-90,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Software Engineer,Computers/Technology,0-1,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Broadcasting/Communications,4-5,"50-60,000",We are exploring ML methods (and may one day put a model into production)
Data Engineer,Online Service/Internet-based Services,1-2,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Manager,Manufacturing/Fabrication,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Student,I am a student,0-1,"0-10,000",I do not know
Other,Academics/Education,15-20,"20-30,000",We use ML methods for generating insights (but do not put working models into production)
Other,Energy/Mining,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Broadcasting/Communications,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Consultant,Computers/Technology,2-3,"20-30,000",No (we do not use ML methods)
Student,I am a student,0-1,"0-10,000",I do not know
Research Assistant,Broadcasting/Communications,0-1,"0-10,000",No (we do not use ML methods)
Student,I am a student,10-15,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Manager,Academics/Education,15-20,"125-150,000",We use ML methods for generating insights (but do not put working models into production)
Consultant,Insurance/Risk Assessment,4-5,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Principal Investigator,Academics/Education,20-25,"40-50,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Other,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Research Scientist,Government/Public Service,2-3,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Research Scientist,Academics/Education,2-3,"30-40,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Medical/Pharmaceutical,3-4,"20-30,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Retail/Sales,2-3,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Insurance/Risk Assessment,2-3,"20-30,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Retail/Sales,5-10,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0,"0-10,000",I do not know
Data Engineer,Online Business/Internet-based Sales,1-2,"60-70,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,1-2,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Chief Officer,Computers/Technology,10-15,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,10-15,"0-10,000",I do not know
Business Analyst,Shipping/Transportation,15-20,"100-125,000",We use ML methods for generating insights (but do not put working models into production)
Data Analyst,Computers/Technology,3-4,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Computers/Technology,5-10,"10-20,000",No (we do not use ML methods)
Student,Computers/Technology,0-1,"30-40,000",I do not know
Other,Government/Public Service,2-3,"10-20,000",No (we do not use ML methods)
Software Engineer,Retail/Sales,5-10,"50-60,000",No (we do not use ML methods)
Data Engineer,Accounting/Finance,1-2,"20-30,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Business Analyst,Other,3-4,"10-20,000",No (we do not use ML methods)
Data Scientist,Computers/Technology,1-2,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Engineer,Computers/Technology,5-10,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,1-2,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Computers/Technology,5-10,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,1-2,"0-10,000",I do not know
Student,I am a student,0-1,"0-10,000",I do not know
Data Scientist,Accounting/Finance,2-3,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Research Scientist,Academics/Education,5-10,"125-150,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Research Scientist,Accounting/Finance,3-4,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,I am a student,0-1,,We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Computers/Technology,2-3,"80-90,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,I am a student,0-1,"10-20,000",No (we do not use ML methods)
Student,I am a student,0-1,,I do not know
Data Scientist,Retail/Sales,1-2,"10-20,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,0-1,"0-10,000",I do not know
Student,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,0-1,"250-300,000",We use ML methods for generating insights (but do not put working models into production)
Product/Project Manager,Insurance/Risk Assessment,5-10,"90-100,000",We are exploring ML methods (and may one day put a model into production)
Student,Computers/Technology,0-1,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Computers/Technology,10-15,"10-20,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,10-15,"0-10,000",No (we do not use ML methods)
Software Engineer,Computers/Technology,2-3,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Shipping/Transportation,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,2-3,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Government/Public Service,5-10,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,1-2,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Computers/Technology,0-1,"0-10,000",I do not know
Student,Computers/Technology,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Consultant,Medical/Pharmaceutical,4-5,"30-40,000",No (we do not use ML methods)
Data Scientist,Online Service/Internet-based Services,2-3,"70-80,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Accounting/Finance,0-1,"20-30,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Research Assistant,Academics/Education,2-3,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Marketing/CRM,5-10,"30-40,000",I do not know
Student,I am a student,0-1,"40-50,000",No (we do not use ML methods)
Software Engineer,Computers/Technology,0-1,"0-10,000",I do not know
Student,Academics/Education,5-10,I do not wish to disclose my approximate yearly compensation,I do not know
Software Engineer,Computers/Technology,2-3,"0-10,000",No (we do not use ML methods)
Research Scientist,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Data Analyst,Computers/Technology,0-1,"50-60,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Hospitality/Entertainment/Sports,5-10,"20-30,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Not employed,,0,,
Software Engineer,Online Service/Internet-based Services,3-4,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Chief Officer,Computers/Technology,5-10,"90-100,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Business Analyst,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Data Analyst,Medical/Pharmaceutical,1-2,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Computers/Technology,3-4,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Computers/Technology,1-2,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Other,1-2,"50-60,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,I am a student,1-2,,I do not know
Software Engineer,Computers/Technology,15-20,"30-40,000",No (we do not use ML methods)
Student,I am a student,0-1,"0-10,000",I do not know
Manager,Shipping/Transportation,3-4,"80-90,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0-1,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Chief Officer,Manufacturing/Fabrication,1-2,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Academics/Education,1-2,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Data Analyst,Marketing/CRM,0-1,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0,,I do not know
Data Scientist,I am a student,1-2,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Research Scientist,Accounting/Finance,0-1,"40-50,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,5-10,"0-10,000",No (we do not use ML methods)
Business Analyst,Accounting/Finance,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,Academics/Education,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Business Analyst,Computers/Technology,3-4,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Software Engineer,Other,3-4,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Computers/Technology,1-2,"10-20,000",No (we do not use ML methods)
Student,I am a student,3-4,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Software Engineer,Computers/Technology,15-20,"50-60,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Engineer,Computers/Technology,1-2,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Other,5-10,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Chief Officer,Computers/Technology,1-2,"60-70,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Data Scientist,Computers/Technology,3-4,"30-40,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Analyst,Computers/Technology,2-3,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Product/Project Manager,Other,2-3,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Computers/Technology,2-3,I do not wish to disclose my approximate yearly compensation,I do not know
Software Engineer,Online Business/Internet-based Sales,3-4,I do not wish to disclose my approximate yearly compensation,I do not know
Student,I am a student,0,"0-10,000",I do not know
Student,I am a student,3-4,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Computers/Technology,15-20,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Salesperson,Medical/Pharmaceutical,5-10,"10-20,000",No (we do not use ML methods)
Data Scientist,I am a student,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Other,Academics/Education,10-15,I do not wish to disclose my approximate yearly compensation,I do not know
Student,I am a student,5-10,"0-10,000",No (we do not use ML methods)
Developer Advocate,Accounting/Finance,4-5,"10-20,000",No (we do not use ML methods)
Other,Academics/Education,10-15,"60-70,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Academics/Education,2-3,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Retail/Sales,1-2,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Analyst,Medical/Pharmaceutical,0-1,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0-1,"0-10,000",No (we do not use ML methods)
Research Scientist,Online Service/Internet-based Services,0-1,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Product/Project Manager,Computers/Technology,15-20,"20-30,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Student,I am a student,1-2,"0-10,000",No (we do not use ML methods)
Student,I am a student,0-1,,We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,10-15,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Insurance/Risk Assessment,5-10,"0-10,000",No (we do not use ML methods)
Student,I am a student,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Product/Project Manager,Accounting/Finance,10-15,"150-200,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Manufacturing/Fabrication,4-5,"20-30,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Computers/Technology,4-5,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Other,Other,4-5,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Other,Other,5-10,"0-10,000",I do not know
Data Scientist,Computers/Technology,2-3,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Data Engineer,Marketing/CRM,3-4,"50-60,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Chief Officer,Computers/Technology,15-20,"60-70,000",We are exploring ML methods (and may one day put a model into production)
Other,Accounting/Finance,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Business Analyst,Computers/Technology,3-4,"20-30,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Computers/Technology,1-2,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Research Scientist,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Not employed,,0,,
Software Engineer,Computers/Technology,5-10,"10-20,000",No (we do not use ML methods)
Data Scientist,Computers/Technology,3-4,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Other,Other,1-2,"10-20,000",No (we do not use ML methods)
Software Engineer,Other,5-10,"100-125,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,1-2,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,I am a student,3-4,"0-10,000",No (we do not use ML methods)
Software Engineer,Insurance/Risk Assessment,0-1,"0-10,000",No (we do not use ML methods)
Data Scientist,Computers/Technology,1-2,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Statistician,Military/Security/Defense,2-3,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Consultant,Medical/Pharmaceutical,30 +,"150-200,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,I am a student,0,,I do not know
Software Engineer,Computers/Technology,3-4,"50-60,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Not employed,,0,,
Data Scientist,Computers/Technology,3-4,"10-20,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Computers/Technology,5-10,"10-20,000",No (we do not use ML methods)
Data Scientist,Insurance/Risk Assessment,5-10,"70-80,000",We are exploring ML methods (and may one day put a model into production)
Marketing Analyst,Computers/Technology,5-10,"20-30,000",No (we do not use ML methods)
Software Engineer,Hospitality/Entertainment/Sports,3-4,"60-70,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Computers/Technology,0-1,"0-10,000",No (we do not use ML methods)
Student,Computers/Technology,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Research Assistant,Academics/Education,2-3,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Data Analyst,Insurance/Risk Assessment,0-1,"0-10,000",I do not know
Software Engineer,Computers/Technology,3-4,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Government/Public Service,4-5,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,10-15,"20-30,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Not employed,,0,,
Data Scientist,Non-profit/Service,4-5,"0-10,000",No (we do not use ML methods)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,I do not know
Software Engineer,Academics/Education,1-2,"10-20,000",We use ML methods for generating insights (but do not put working models into production)
Not employed,,0,,
Research Assistant,Academics/Education,0-1,"30-40,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,4-5,"30-40,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Other,3-4,"70-80,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Analyst,Computers/Technology,0-1,"0-10,000",I do not know
Student,Academics/Education,0-1,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Computers/Technology,1-2,"40-50,000",We use ML methods for generating insights (but do not put working models into production)
Data Engineer,Computers/Technology,3-4,"50-60,000",No (we do not use ML methods)
Data Scientist,Computers/Technology,1-2,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,4-5,"0-10,000",No (we do not use ML methods)
Data Analyst,Academics/Education,5-10,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,5-10,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Computers/Technology,15-20,"50-60,000",We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Computers/Technology,2-3,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,Academics/Education,10-15,"0-10,000",No (we do not use ML methods)
Data Scientist,Insurance/Risk Assessment,2-3,"60-70,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,Academics/Education,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,Computers/Technology,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Business Analyst,Other,0-1,"0-10,000",No (we do not use ML methods)
Student,I am a student,0,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Research Scientist,Accounting/Finance,10-15,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Not employed,,0,,
Software Engineer,Computers/Technology,10-15,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Developer Advocate,Energy/Mining,3-4,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Research Scientist,Computers/Technology,2-3,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0-1,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Business Analyst,Online Service/Internet-based Services,4-5,"0-10,000",No (we do not use ML methods)
Software Engineer,Computers/Technology,10-15,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,5-10,"0-10,000",I do not know
Data Scientist,Online Service/Internet-based Services,1-2,"40-50,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Software Engineer,Accounting/Finance,5-10,"20-30,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0-1,,We are exploring ML methods (and may one day put a model into production)
Not employed,,0,,
Software Engineer,Insurance/Risk Assessment,1-2,"90-100,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Accounting/Finance,2-3,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Research Scientist,Academics/Education,10-15,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Other,1-2,"40-50,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,0-1,,We are exploring ML methods (and may one day put a model into production)
Software Engineer,Online Service/Internet-based Services,4-5,"100-125,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Salesperson,I am a student,2-3,"0-10,000",I do not know
Student,I am a student,10-15,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Data Engineer,Online Service/Internet-based Services,1-2,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Data Engineer,Computers/Technology,3-4,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,1-2,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Product/Project Manager,Computers/Technology,5-10,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Student,I am a student,15-20,"0-10,000",No (we do not use ML methods)
Research Scientist,Academics/Education,2-3,"10-20,000",We use ML methods for generating insights (but do not put working models into production)
Data Scientist,Computers/Technology,5-10,"60-70,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Engineer,Government/Public Service,0-1,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Software Engineer,Computers/Technology,4-5,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Other,Online Business/Internet-based Sales,2-3,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Other,Other,15-20,I do not wish to disclose my approximate yearly compensation,I do not know
Other,Academics/Education,15-20,"40-50,000",No (we do not use ML methods)
Student,I am a student,15-20,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Academics/Education,2-3,I do not wish to disclose my approximate yearly compensation,I do not know
Software Engineer,Computers/Technology,10-15,"30-40,000",No (we do not use ML methods)
Other,Retail/Sales,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
Student,I am a student,2-3,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Not employed,,0,,
Data Scientist,Insurance/Risk Assessment,1-2,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,0-1,,I do not know
Software Engineer,Computers/Technology,5-10,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Online Business/Internet-based Sales,1-2,"60-70,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0-1,,I do not know
Software Engineer,Computers/Technology,5-10,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Research Assistant,Academics/Education,2-3,"10-20,000",We are exploring ML methods (and may one day put a model into production)
Not employed,,0,,
Data Scientist,Computers/Technology,0-1,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Consultant,Computers/Technology,15-20,"30-40,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,I am a student,0-1,"10-20,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Analyst,Broadcasting/Communications,0-1,"10-20,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Student,Academics/Education,3-4,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Research Scientist,Accounting/Finance,5-10,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,4-5,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Other,Accounting/Finance,5-10,"0-10,000",No (we do not use ML methods)
Other,Computers/Technology,10-15,"30-40,000",No (we do not use ML methods)
Salesperson,Other,1-2,"0-10,000",No (we do not use ML methods)
Data Scientist,Energy/Mining,4-5,"90-100,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Computers/Technology,4-5,"80-90,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Other,Computers/Technology,2-3,"400-500,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,5-10,"0-10,000",No (we do not use ML methods)
Data Scientist,Marketing/CRM,0-1,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,I am a student,1-2,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Medical/Pharmaceutical,3-4,"0-10,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Consultant,Computers/Technology,0-1,"20-30,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,0-1,"0-10,000",No (we do not use ML methods)
Data Analyst,Computers/Technology,3-4,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Other,Academics/Education,10-15,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Student,I am a student,1-2,"0-10,000",We are exploring ML methods (and may one day put a model into production)
Student,I am a student,0-1,"0-10,000",No (we do not use ML methods)
Software Engineer,Online Service/Internet-based Services,1-2,I do not wish to disclose my approximate yearly compensation,We are exploring ML methods (and may one day put a model into production)
Data Scientist,Marketing/CRM,1-2,"90-100,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Data Scientist,Computers/Technology,4-5,"90-100,000","We recently started using ML methods (i.e., models in production for less than 2 years)"
Student,Computers/Technology,0-1,"0-10,000",No (we do not use ML methods)
Consultant,Computers/Technology,2-3,I do not wish to disclose my approximate yearly compensation,"We have well established ML methods (i.e., models in production for more than 2 years)"
Data Scientist,Academics/Education,1-2,I do not wish to disclose my approximate yearly compensation,"We recently started using ML methods (i.e., models in production for less than 2 years)"
Software Engineer,Computers/Technology,1-2,"125-150,000",We are exploring ML methods (and may one day put a model into production)
Data Analyst,Energy/Mining,0-1,"20-30,000",We are exploring ML methods (and may one day put a model into production)
Research Assistant,Academics/Education,0-1,"0-10,000","We have well established ML methods (i.e., models in production for more than 2 years)"
Not employed,,0,,
Student,I am a student,0,,I do not know
Software Engineer,Computers/Technology,10-15,"20-30,000",We use ML methods for generating insights (but do not put working models into production)
Software Engineer,Computers/Technology,0-1,"0-10,000",I do not know
Chief Officer,Marketing/CRM,1-2,"90-100,000",We use ML methods for generating insights (but do not put working models into production)
Student,I am a student,1-2,"0-10,000",No (we do not use ML methods)
Software Engineer,Computers/Technology,10-15,I do not wish to disclose my approximate yearly compensation,I do not know
Data Analyst,Online Business/Internet-based Sales,0-1,"0-10,000",We use ML methods for generating insights (but do not put working models into production)
Manager,Computers/Technology,10-15,"125-150,000",We are exploring ML methods (and may one day put a model into production)
Data Scientist,Medical/Pharmaceutical,1-2,I do not wish to disclose my approximate yearly compensation,We use ML methods for generating insights (but do not put working models into production)
Research Assistant,Broadcasting/Communications,2-3,,I do not know
Data Analyst,Other,0-1,"0-10,000",No (we do not use ML methods)
Student,I am a student,0-1,I do not wish to disclose my approximate yearly compensation,No (we do not use ML methods)
